,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / Internacional,Compare At Price / Internacional,Status
0,SCRB1,Scrub Slim Recto Hombre Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU1,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SCRB1,Scrub Slim Recto Hombre Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU2,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SCRB1,Scrub Slim Recto Hombre Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU3,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SCRB1,Scrub Slim Recto Hombre Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU4,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SCRB1,Scrub Slim Recto Hombre Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU5,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SCRB1,Scrub Slim Recto Hombre Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU6,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SCRB1,Scrub Slim Recto Hombre Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU7,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SCRB1,Scrub Slim Recto Mujer Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU8,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCRB1,Scrub Slim Recto Mujer Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU9,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SCRB1,Scrub Slim Recto Mujer Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU10,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SCRB1,Scrub Slim Recto Mujer Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU11,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SCRB1,Scrub Slim Recto Mujer Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU12,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SCRB1,Scrub Slim Recto Mujer Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU13,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SCRB1,Scrub Slim Recto Mujer Clasic Blanco XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Blanco, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU14,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SCRB1,Scrub Slim Recto Hombre Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU15,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SCRB1,Scrub Slim Recto Hombre Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU16,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SCRB1,Scrub Slim Recto Hombre Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU17,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,SCRB1,Scrub Slim Recto Hombre Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU18,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SCRB1,Scrub Slim Recto Hombre Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU19,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SCRB1,Scrub Slim Recto Hombre Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU20,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,SCRB1,Scrub Slim Recto Hombre Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU21,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SCRB1,Scrub Slim Recto Mujer Clasic Negro XXS,"Nuestro Scrub, manufacturado 100% en Mexico con los mejores materiales, ofecemos el modelo Slim Recto de la coleccion Clasic este producto es de color Negro, ofreciendo el tamaño XXS",LUQUAS SCRUBS,Ropa y accesorios > Prendas de vestir,Conjunto,,True,Title,Default Title,,,,,SCRBU22,0.6,shopify,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
